Title,Authors,Year,DOI,Abstract,Keywords,Publisher,Source
Preference modelling in sorting problems: Multiple criteria decision aid and statistical learning perspectives,Erişkin L.,2021,10.1002/mcda.1737,"Many decision problems in a variety of fields such as marketing, quality prediction, and economics correspond to the sorting decision problematic where an ordinal scale is used to express a preference of objects. Both Multiple Criteria Decision Aid and Statistical Learning fields offer methodologies to represent the preference of the decision maker facing the sorting problem, however, there are differences in terminology, objectives, key assumptions, and solution philosophies. In this context, this paper aims to explain these differences as well as similarities and connections between these two fields by reviewing exemplary methodologies in sorting problems. As we discuss, there are significant research opportunities for developing new methodologies by exploiting the strong aspects of these two fields. © 2021 John Wiley & Sons, Ltd.",multiple criteria decision aid; ordinal classification; ordinal regression; preference learning; sorting; statistical learning,John Wiley and Sons Ltd,scopus-prediction
Influencer recommendation system: choosing the right influencer using a network analysis approach,Jha A.K.; Ray S.,2023,10.1108/MIP-04-2023-0149,"Purpose: The rise of social media has led to the emergence of influencers and influencer marketing (IM) domains, which have become important areas of academic inquiry. However, despite its prominence as an area for study, several significant challenges must be addressed. One significant challenge involves identifying, assessing and recommending social media influencers (SMIs). This study proposes a semantic network model capable of measuring an influencer's performance on specific topics or subjects to address this issue. This study can assist managers in identifying suitable SMIs based on their estimated reach. Design/methodology/approach: Data from popular YouTube influencers and publicly available performance measures (views and likes) are extracted. Second, the titles of the past videos made by the influencer are used to develop a semantic network connecting all the videos to other videos based on similarity measures. Third, the nearest neighbor approach extracts the neighbors of the target title video. Finally, based on the set of neighbors, a range prediction is made for the views and likes of the target video with the influencer. Findings: The results show that the model can predict an accurate range of views and likes based on the suggested video titles and the content creator, with 69–78% accuracy across different influencers on YouTube. Research limitations/implications: The current study introduces a novel and innovative approach that exploits the textual association between a SMI's previous content to forecast the outcome of their future content. Although the findings are encouraging, this research recognizes various constraints that upcoming researchers may tackle. Forecasting views of posts concerning novel subjects and precisely adjusting video view counts based on their age constitute two primary limitations of this study. Practical implications: Managers interested in hiring influencers can employ the suggested approach to evaluate an influencer's potential performance on a specific topic. This research aids managers in making informed decisions regarding influencer selection, utilizing data-based metrics that are simple to comprehend and explain. Originality/value: The study contributes to outreach evaluation and better estimating the impact of SMIs using a novel semantic network approach. © 2023, Emerald Publishing Limited.",Influencer marketing; Network analytics; Prediction model; Semantic network; Social media influencers,Emerald Publishing,scopus-prediction
"Improved retention analysis in freemium role-playing games by jointly modelling players’ motivation, progression and churn",Karmakar B.; Liu P.; Mukherjee G.; Che H.; Dutta S.,2022,10.1111/rssa.12730,"We consider user retention analytics for online freemium role-playing games (RPGs). RPGs constitute a very popular genre of computer-based games that, along with a player's gaming actions, focus on the development of the player's in-game virtual character through a persistent exploration of the gaming environment. Most RPGs follow the freemium business model in which the gamers can play for free but they are charged for premium add-on amenities. As with other freemium products, RPGs suffer from the curse of high dropout rates. This makes retention analysis extremely important for successful operation and survival of their gaming portals. Here, we develop a disciplined statistical framework for retention analysis by modelling multiple in-game player characteristics along with the dropout probabilities. We capture players’ motivations through engagement times, collaboration and achievement score at each level of the game, and jointly model them using a generalized linear mixed model (glmm) framework that further includes a time-to-event variable corresponding to churn. We capture the interdependencies in a player's level-wise engagement, collaboration, achievement with dropout through a shared parameter model. We illustrate interesting changes in player behaviours as the gaming level progresses. The parameters in our joint model were estimated by a Hamiltonian Monte Carlo algorithm which incorporated a divide-and-recombine approach for increased scalability in glmm estimation that was needed to accommodate our large longitudinal gaming data-set. By incorporating the level-wise changes in a player's motivations and using them for dropout rate prediction, our method greatly improves on state-of-the-art retention models. Based on data from a popular action based RPG, we demonstrate the competitive optimality of our proposed joint modelling approach by exhibiting its improved predictive performance over competitors. In particular, we outperform aggregate statistics based methods that ignore level-wise progressions as well as progression tracking non-joint model such as the Cox proportional hazards model. We also display improved predictions of popular marketing retention statistics and discuss how they can be used in managerial decision making. © 2021 Royal Statistical Society",,John Wiley and Sons Inc,scopus-prediction
Understanding Guests’ Intention to Visit Green Hotels,Eid R.; Agag G.; Shehawy Y.M.,2021,10.1177/1096348020947800,"The purpose of this study was to expand existing knowledge of hotel consumers’ green behaviors by merging value-belief-norm theory and the theory of planned behavior into one theoretical framework to understand comprehensively consumers’ decision-making processes with respect to their intentions to visit a green hotel. Data collected from 757 respondents were analyzed. The results indicate that our integrated framework demonstrates a favorable level of prediction power for guests’ behavior, which verified the superiority of the suggested framework. Furthermore, its findings from fuzzy set qualitative comparative analysis indicate that: (a) attitude toward green hotels, perceived behavioral control, sense of obligation, and corporate image are key drivers of guests’ intentions to visit green hotels; (b) three distinct configurations of guests’ intention drivers are likely to result in a high degree of intentions among customers to visit green hotels. The three solutions all contain the conditions of high attitude, corporate image, biospheric value, and green activities, which means that these conditions are vital components of a high intention among customers to visit green hotels. This study contributes to the growing literature on sustainability in marketing and practice by providing useful insights about the determinants of guests’ behavior to use green hotels in the Egyptian hospitality context. It is one of the first empirical studies examining factors affecting guests’ behavior to use green hotels in the Egyptian hospitality context. © The Author(s) 2020.",corporate image; fsQCA; Green hotels; structural equation modelling; theory of planned behavior; value-belief-norm theory,SAGE Publications Inc.,scopus-prediction
PerCLTV: A General System for Personalized Customer Lifetime Value Prediction in Online Games,Zhao S.; Wu R.; Tao J.; Qu M.; Zhao M.; Fan C.; Zhao H.,2023,10.1145/3530012,"Online games make up the largest segment of the booming global game market in terms of revenue as well as players. Unlike games that sell games at one time for profit, online games make money from in-game purchases by a large number of engaged players. Therefore, Customer Lifetime Value (CLTV) is particularly vital for game companies to improve marketing decisions and increase game revenues. Nowadays, as virtual game worlds are becoming increasingly innovative, complex, and diverse, the CLTV of massive players is highly personalized. That is, different players may have very different patterns of CLTV, especially on churn and payment. However, current solutions are inadequate in terms of personalization and thus limit predictive performance. First, most methods just attempt to address either task of CLTV, i.e., churn or payment, and only consider the personalization from one of them. Second, the correlation between churn and payment has not received enough attention and its personalization has not been fully explored yet. Last, most solutions around this line are conducted based on historical data where the evaluation is not convincing enough without real-world tests. To tackle these problems, we propose a general system to predict personalized customer lifetime value in online games, named perCLTV. To be specific, we revisit the personalized CLTV prediction problem from the two sub-Tasks of churn prediction and payment prediction in a sequential gated multi-Task learning fashion. On this basis, we develop a generalized framework to model CLTV across games in distinct genres by heterogeneous player behavior data, including individual behavior sequential data and social behavior graph data. Comprehensive experiments on three real-world datasets validate the effectiveness and rationality of perCLTV, which significantly outperforms other baseline methods. Our work has been implemented and deployed in many online games released from NetEase Games. Online A/B testing in production shows that perCLTV achieves a prominent improvement in two precision marketing applications of popup recommendation and churn intervention. © 2023 Association for Computing Machinery.",churn prediction; multi-Task learning; online games; payment prediction; Personalized customer lifetime value,Association for Computing Machinery,scopus-prediction
How virtual reality influences travel intentions: The role of mental imagery and happiness forecasting,Skard S.; Knudsen E.S.; Sjåstad H.; Thorbjørnsen H.,2021,10.1016/j.tourman.2021.104360,"Virtual reality can influence consumer behavior in powerful ways, but in the domain of tourism marketing, less is known about the psychological process. One possibility is that VR has stronger impact on mental imagery than traditional channels, creating vivid simulations of what it would be like to visit destinations. This process might create hedonic expectations of future happiness, which should increase the willingness to actually seek out the destination in real life. The results from a laboratory experiment provided support to this hypothesis. Participants were randomly assigned to view a nature destination either in traditional still images or virtual reality, and then reported their initial responses before making an actual consumer choice. VR exposure led to higher levels of mental imagery and happiness predictions, which in turn was associated with stronger travel intentions and purchasing decisions. However, VR effects on consumer choice were moderated by previous experience with the destination. © 2021 The Authors",Affective forecasting; Behavioral intentions; Mental imagery; Purchase; Telepresence; Virtual reality,Elsevier Ltd,scopus-prediction
ESTIMATING THE DEMAND FOR RAILWAY FREIGHT TRANSPORTATION: A CASE STUDY IN KAZAKHSTAN,Sultanbek M.; Adilova N.; Sładkowski A.; Karibayev A.,2023,10.20858/tp.2023.18.3.07,"This article focuses on the critical importance of demand estimates for effective planning and decision-making in the railway freight transportation industry. Various departments within transportation companies, including marketing, production, distribution, and finance departments, heavily rely on accurate demand forecasts to make informed decisions. Forecasting demand is a crucial aspect of managing business processes, and the methods for doing this can vary across different industries. The ultimate goal remains consistent—to obtain precise predictions of future demand by analyzing historical data and current environmental factors. In the context of transportation services, accurate demand forecasting is essential for successful operational planning and management of functional areas such as transportation operations, marketing, and finance. The current case study specifically examines the National Company Kazakhstan Temir Zholy (KTZ), a transport and logistics holding engaged in rail transportation in Kazakhstan. KTZ’s main sources of income are related to freight transportation. The volume of cargo transportation (in tons) and the freight turnover play a significant role in assessing demand and forecasting future revenues from freight traffic. Different techniques for demand forecasting are explored, including qualitative and quantitative methods. Qualitative methods rely on judgments and opinions, while quantitative methods utilize historical data or identify causal relationships between variables. Overall, the present study highlights the critical role of demand forecasting in the railway freight transportation industry and its impact on efficient planning and decision-making processes. © 2023 Silesian University of Technology. All rights reserved.",ARIMA; demand estimation; forecast quality assessment; railway freight transportation; volume and turnover,Silesian University of Technology,scopus-prediction
Attention Trajectories Capture Utility Accumulation and Predict Brand Choice,Martinovici A.; Pieters R.; Erdem T.,2023,10.1177/00222437221141052,"Trajectories of attention capture the accumulation of brand utility during complex decision-making tasks. Thus, attention trajectories, as reflected in eye movements, predict the final brand choice of 85% of consumers before they implement it. Even when observing eye movements in only the first quarter of the decision process, attention already predicts brand choice much better (45%) than chance levels (20%). This superior prediction performance is due to a “double attention lift” for the chosen brand: The chosen brand receives progressively more attention toward the moment of choice, and more of this attention is devoted to integrating information about the brand rather than to comparing it with other options. In contrast, the currently owned brand grabs attention early in the task, and its attention gain persists for brand-loyal consumers and shifts for brand-switching consumers. A new attention and choice model used in tandem with the Bayesian K-fold cross-validation methodology on eye-tracking data from 325 representative consumers uncovered these attention trajectory effects. The findings contribute to closing important knowledge gaps in the attention and choice literature and have implications for marketing research and managerial practice. © The Author(s) 2023.",attention and brand choice; Bayesian estimation; eye movements; K-fold cross-validation; prediction; utility accumulation,SAGE Publications Ltd,scopus-prediction
Principles of moral accounting: How our intuitive moral sense balances rights and wrongs,Johnson S.G.B.; Ahn J.,2021,10.1016/j.cognition.2020.104467,"We are all saints and sinners: Some of our actions benefit others, while other actions lead to harm. How do people balance moral rights against moral wrongs when evaluating others' actions? Across 9 studies, we contrast the predictions of three conceptions of intuitive morality—outcome-based (utilitarian), act-based (deontologist), and person-based (virtue ethics) approaches. These experiments establish four principles: Partial offsetting (good acts can partly offset bad acts), diminishing sensitivity (the extent of the good act has minimal impact on its offsetting power), temporal asymmetry (good acts are more praiseworthy when they come after harms), and act congruency (good acts are more praiseworthy to the extent they offset a similar harm). These principles are difficult to square with utilitarian or deontological approaches, but sit well within person-based approaches to moral psychology. Inferences about personal character mediated many of these effects (Studies 1–4), explained differences across items and across individuals (Studies 5–6), and could be manipulated to produce downstream consequences on blame (Studies 7–9); however, there was some evidence for more modest roles of utilitarian and deontological processing too. These findings contribute to conversations about moral psychology and person perception, and may have policy and marketing implications. © 2020",Intuitive ethics; Moral judgment; Person perception; Reputation; Social cognition,Elsevier B.V.,scopus-prediction
Predicting Mobile Applications Adoption Based on Online Review Data and Integrated Independent Subspaces Method; [基于在线评论和集成独立子空间的移动应用采用预测研究],Shen W.; Shi Q.; Li H.; Dai W.; Sun X.,2023,10.3969/j.issn.1008-0821.2023.08.010,"[Purpose/Significance] This research aims to optimize existing prediction methods of mobile application adoption and provide decision-making bases for application developers and publishers to formulate R&D plans and marketing plans. [Method/Process] Mobile application features were extracted from online reviews collected from application stores. Features sampling and evaluation of the importance of input features were made using the independent subspace method. Then, the adoption of mobile applications was predicted using MLR, CART, ANN, and SVR. [Result/Conclusion] The experimental results show that the integrated method based on the independent subspace proposed in this study can effectively evaluate the importance of input features and accurately predict the trend of mobile application adoption. The results can provide references for application developers, publishers and operations. © 2019 Journal of Modern Information. All rights reserved.",independent subspace method; mobile application; online review; prediction,Editorial Board of Journal of Modern Information,scopus-prediction
EYE-TRACKING AS A PHYSIOLOGICAL CORRELATE OF CONSUMER BEHAVIOR: A SYSTEMATIC LITERATURE REVIEW; [EYE-TRACKING COMO CORRELATO FISIOLÓGICO DO COMPORTAMENTO DO CONSUMIDOR: UMA REVISÃO SISTEMÁTICA DA LITERATURA],Neves Pereira M.H.; Bezerra de Melo F.L.N.; Jerônimo Soares A.M.; Soares Ferreira P.B.; da Silva M.P.; Morya E.,2024,10.5585/remark.v23i1.23271,"Objective: This study analyzes, through a systematic literature review, the main approaches used in research on consumer behavior that used eye-tracking as an identifier of physiological reactions. Method: The Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) protocol was used to identify and select empirical studies published in the last five years, between 2019 and 2023, in nine research databases (Web of Science, Science Direct, Scopus, Springer, Emerald, Wiley Online, Sage, Taylor & Francis, and Google Scholar). Thus, 243 studies were included in the review. Results: The analyzed studies are mainly classified into four different themes of neuromarketing application: purchase decision, behavioral prediction, advertising effects, and customer retention. The main segments analyzed were e-commerce and retail. The predominance of quantitative studies and the need to control sociodemographic variables in the models is highlighted. In summary, there is a suggested need for more multimethod approaches that combine eye-tracking with quantitative and qualitative methods (retrospective interviews), as well as integrate it with other techniques such as Electroencephalography (EEG), Magnetic Resonance Imaging (MRI), Galvanic Skin Response (GSR), facial biometrics, among others. Theoretical/Methodological Contributions: This research advances the understanding of the state of the art on eye-tracking and its application in neuromarketing, providing insights into methodological pathways. Originality/Relevance: Therefore, the main applications and emerging themes that can be explored in future studies are discussed. The proposal was previously registered in PROSPERO (CRD42022315763) and at the time of registration, there was no similar protocol. © 2024 Universidade Nove de Julho-UNINOVE. All rights reserved.",Consumer behavior; Eye-Tracking; Marketing; Neuromarketing,Universidade Nove de Julho-UNINOVE,scopus-prediction
"Persistence modeling for sales prediction: A simple, self-contained approach",Sbrana G.; Antonetti P.,2023,10.1016/j.jbusres.2023.114103,"The accurate prediction of future retail sales is crucial in business. Marketing persistence modeling is a well-established framework for the analysis of retail sales dynamics using a time series approach. However, dominant academic approaches to persistence modeling are rather complex, requiring sophisticated analytic and computing skills. We introduce a decision making approach that allows jointly testing and predicting the evolution of retail sales using a state-space model. We first propose a model, which incorporates the foundations of persistence modeling, and provide a simple estimation method. Secondly, we show a formal procedure for detecting persistence and, hence, selecting parameters to predict future data. An empirical investigation carried out over nearly 30000 Walmart retail sales, shows that our model provides significantly better prediction performance when compared to standard benchmarks. The combination of simplicity and efficiency makes our approach appealing not only for scholars but also for practitioners. © 2023 Elsevier Inc.",Marketing persistence; Model confident set; Prediction accuracy; State-space models,Elsevier Inc.,scopus-prediction
Reference dependent prices in bargaining: An experimental examination of precise first offers,Kimbrough E.O.; Porter D.; Schneider M.,2021,10.1016/j.joep.2021.102406,"Evidence from psychology and marketing suggests that those who make a “precise” first offer in bargaining get a better deal than those who make a “round” first offer. We report on a series of experiments designed to test for and improve our understanding of the “precise first offer” (PFO) effect in bargaining and whether it likely reflects rational optimizing or equilibrium behavior. Our experiment varies whether decisions are incentivized and whether the PFO effect can emerge as an equilibrium of a cheap-talk signaling game. We find evidence of a PFO effect when subjects read a vignette and make unincentivized individual decisions. When monetary incentives are added to the vignette, we still find the PFO effect, but it is not robust. In a bilateral bargaining situation with a cheap-talk equilibrium, we can not find the PFO effect, which is inconsistent with the equilibrium predictions. Moreover, the PFO effect reemerges in a setting in which initial offers are generated by a random device and thus provides a strong refutation of the signaling model. Our evidence suggests that optimizing and equilibrium accounts of the PFO effect are inadequate. Understanding initial offers as reference points, which subtly change perceptions about the kinds of acceptable counteroffers, provides a plausible account of a new finding on which prior explanations are silent: precise offers induce more precise counteroffers. © 2021 Elsevier B.V.",Bargaining; Precise first offers; Reference points,Elsevier B.V.,scopus-prediction
A high-performance turnkey system for customer lifetime value prediction in retail brands: Forthcoming in quantitative marketing and economics,Yan Y.; Resnick N.,2024,10.1007/s11129-023-09272-x,"Customer lifetime value (CLV) modeling underpins modern marketing analytics, enabling the development of tailored customer relationship management strategies based on the predicted future value of their customers. As part of Amperity’s enterprise customer data platform (CDP), we deploy and maintain a CLV prediction system that caters to a rapidly growing list of brands across various industries, purchase behaviors, and scales. Given the impracticality of developing bespoke models for each brand, our solution must be adaptive, generalizable, and high-performing ”out of the box”. Furthermore, our platform demands daily prediction updates to facilitate prompt marketing decisions. This paper introduces a turnkey CLV prediction system that achieves state-of-the-art performance across a diverse set of brands. This system has several contributions: 1) the use of encodings and embeddings to incorporate signals from high-cardinality data; 2) a multi-stage churn-CLV modeling framework that augments additional flexibility in adjusting churn probabilities, subsequently reducing CLV prediction errors while maintaining a synergistic learning process; 3) a feature-weighted ensemble of both generative and discriminative models to accommodate diverse underlying purchase patterns. Empirical results show that our enhanced model consistently surpasses benchmark performances for twelve retail brands across six evaluation intervals from June 2020 to September 2022. © The Author(s) 2023. corrected publication 2023.",Churn prediction; Customer data platform; Customer lifetime value; Ensemble modeling; M31; Marketing analytics,Springer,scopus-prediction
"Virtual vs physical platform: organizational capacity and slack, strategic decision and firm performance",Lee H.; Hsiao Y.-C.; Chen C.-J.; Guo R.-S.,2020,10.1108/JBIM-07-2019-0341,"Purpose: This study aims to examine the relationship between organizational capacity, slack resource, platform strategic choice and firm performance. It also tackles the endogenous issues regarding the strategic choice of platform types. Design/methodology/approach: This study uses Heckman’s two-stage procedures to examine the relationship between the variables. The sample in this study comes from Compustat annual company and segment files. The sample used in the main analysis consists of 252 individual corporations globally and 3,528 firm-year observations from 2004–2017. Findings: The empirical results suggest that: (1) firms are more likely to develop physical platforms than virtual platforms when they possess higher levels of available slack, potential slack, research and development (R&D) capacity and marketing capacity; (2) in general, firms developing physical platforms perform better than firms developing virtual platforms after the endogeneity bias are controlled; and (3) firms that choose to develop physical platforms perform better than if they had chosen to develop virtual platforms. Research limitations/implications: This study contributes to the platform research literature by proposing the endogenous role of platform type choice in firm performance in the context of the retail industry. Prior conceptual and theoretical platform studies have seldom focused on the retail industry through a strategic choice perspective. Furthermore, one of the contributions of this study is the derivation of empirical support for the research’s prediction using data from actual firms carried out by global physical and virtual platform companies. This study also presents many opportunities for further explorations on the relationship between firm strategic choice and firm performance in the context of platform retail industry. Practical implications: The findings of this study suggest that firms must realize that their performance is not necessarily affected by these platform type choice determinants in terms of potential slack, available slack, R&D capacity and marketing capacity. By contrast, they should pay more attention to developing physical platforms if it is possible. The study findings indicate that although virtual platforms have grown rapidly because of the development of technology, firm performance is at all times superior when firms choose to develop physical platforms. Originality/value: Prior platform studies have focused on the topic of network structure, platform architecture, pricing strategy, platform leadership and platform design and governance within the context of video game industry, software industry, hardware industry and telecommunications industry. Seldom of them focus on other industries through a strategic choice perspective. Furthermore, one of the contributions of this study is the derivation of empirical support for the research’s prediction using data from actual firms carried out by global physical and virtual platform companies. © 2020, Emerald Publishing Limited.",Business strategy; Electronic commerce; Organizational capacity; Physical platform; Retail industry; Slack resource; Strategic management; Virtual platform,Emerald Group Holdings Ltd.,scopus-prediction
A fuzzy approach to determining antecedents to green cosmetic consumption in India,Srivastava R.; Sanjeev M.A.; Gupta S.,2024,10.1108/IJRDM-09-2022-0340,"Purpose: Heightened public concerns for the global environment due to human overexploitation have given rise to many green product initiatives by businesses. Green cosmetics (GC) are products developed and marketed based on ecological sustainability and have shown increasing consumer appeal worldwide. The current research investigates the antecedents of green cosmetics consumption among Indian GC users, hitherto un-investigated comprehensively. Design/methodology/approach: The study is a cross-sectional pairwise comparison of green evaluation criteria for cosmetics using an expert panel of thirty Indian cosmetic users using a fuzzy analytic hierarchy process (F-AHP) and investigate the impact of a comprehensive list of antecedents on the multi-criteria category consumption decision. Findings: The study results indicate that perceived consumer effectiveness is the most critical factor for green cosmetics consumption in India, followed by brand trust, behavioural control, and environmental effectiveness. The least important factors are price and social norms. Research limitations/implications: As the GC category is at nascent stage in India the investigation is limited to the GC category innovators – a set of people high in intellectual and financial resources. The study is also limited to women users as the male cosmetic market in the country is still very small. Practical implications: The study results can help marketers in designing and implementing GC related marketing strategies to deliver higher customer value to the target segment. Academicians can use the study results for better prediction of category related behaviour of consumers. Social implications: The study results will help promote GC category adoption and usage which can benefit the environment and consumer health. Originality/value: The study contributes to literature and practice by assessing a comprehensive set of critical antecedents to GC adoption using a novel approach of F-AHP and an expert user panel. The study results offer insights to marketers that can be used to develop suitable strategies to convert non-GC users into GCs in India and similar markets, improving category penetration and benefitting marketers, retailers, users, and the environment. © 2024, Emerald Publishing Limited.",Antecedents; Behavioral control; Brand trust; Consumer effectiveness; Environmental effectiveness; Fuzzy analytic hierarchy process; Green cosmetics,Emerald Publishing,scopus-prediction
Analysis of FDA's Vuse market authorisation: limitations and opportunities,Meshnick A.B.; Faricy L.E.; Lushniak B.D.,2023,10.1136/tc-2022-057540,"This special communication provides a physicians' critique of the US Food and Drug Administration (FDA)'s decision to authorise the Vuse Solo (Vuse) Premarket Tobacco Application (PMTA). The PMTA authorisation represents the first time that FDA has authorised an Electronic Nicotine Delivery System (ENDS) for marketing in the USA. Using the FDA Decision Summary, the special communication identifies significant unanswered public health and scientific questions that prevent the authors from reaching FDA's conclusion that Vuse meets the Appropriate for the Protection of the Public Health (APPH) standard. The authors recommend FDA suspend the market authorisation and use these questions to re-evaluate the PMTA, and to prospectively monitor whether Vuse meets APPH standard. The special communication advances the ENDS harm reduction conversation because it calls for national tobacco regulators to develop an epidemiological prediction of ENDS impact on the population and to expand the scope of their analysis to evaluate the impacts of ENDS on congenital birth defects, abuse liability and non-flavour drivers of youth usage. Through learning from the American experience regulating Vuse, national tobacco regulators around the globe will be better equipped to evaluate the impact of ENDS on the public health.  © Author(s) (or their employer(s)) 2024. No commercial re-use. See rights and permissions. Published by BMJ.",addiction; electronic nicotine delivery devices; harm reduction; public policy,BMJ Publishing Group,scopus-prediction
Impact of International Trade on the Share Prices of the Industrial Bank of Korea Using Stochastic Prediction Modeling,Dar G.F.; Ahn Y.-H.; Dar Q.F.; Ma J.-H.,2023,10.20294/jgbt.2023.19.4.90,"Purpose – The share price of any financial institution fluctuates due to various hidden and visible factors. Predicting share price behavior in the economy and financial marketing theory is crucial but complex. The Industrial Bank of Korea’s (IBK) share prices are also affected by hidden factors, including Korean international trade flow. The study aims to forecast hidden impacts on IBK share prices resulting from the international trade flow in Korea. Design/Methodology/Approach – Two Hidden Markov Model (HMM) approaches are employed, one based on exports, and the other on imports, to identify trends and fluctuations in the hidden states influencing visible states. Findings – The findings reveal a significant positive correlation between IBK share prices and both exports and imports. Notably, increasing exports indicate a 50% probability of IBK share prices rising, while falling imports indicate a 56% chance of IBK share prices increasing. These results demonstrate how changes in exports and imports impact IBK’s share price in the Korean stock market. Research Implications – The research implications are valuable for short-and long-term investors in IBK shares and the Korean stock exchange. This research can help decision-makers identify the relationships between and within the visible/observed states that influence the stock price of IBK. © 2023 International Academy of Global Business and Trade. All rights reserved.",forecasting; portfolio management; stochastic modelling,International Academy of Global Business and Trade,scopus-prediction
"Owner CEO narcissism, international entrepreneurial orientation and post-entry speed of internationalization: an empirical study of exporting SMEs from China",Li X.; Wang Y.; Yang M.M.; Tang Y.,2023,10.1108/IMR-07-2020-0169,"Purpose: This study explores the impact of owner chief executive officers' (CEO) narcissism on the exporting small to medium-sized enterprises' (SMEs) decision-making on the international market expansion speed after their initial entry. Specifically, the authors use the mechanism of firms' international entrepreneurial orientation (IEO) to examine how owner CEO narcissism may influence SMEs' post-entry speed of internationalization (PSI), both directly and indirectly. Design/methodology/approach: To test the hypotheses, the authors draw on data from a two-wave questionnaire and on archival export data from 291 Chinese exporting SMEs in three municipalities and 17 provinces from 2019 to 2020. Findings: The results support the theoretical predictions that owner CEO narcissism shapes exporting SMEs' decisions on PSI, both directly and indirectly, through the mediation of firm-level IEO. Originality/value: The study extends emerging research on the role of CEO narcissism in the upper echelons literature into the international marketing (IM) context. It also offers new insights into what drives exporting SMEs' IM decision-making from a psychological microfoundations perspective. Furthermore, the authors theoretically establish and empirically demonstrate the key role of a firm's IEO as a mediator to complement the existing literature's focus on the direct influence of CEO narcissism on firms' internationalization decisions. © 2021, Emerald Publishing Limited.",IM decision-making; International entrepreneurial orientation; Owner CEO narcissism; Post-entry speed of internationalization; SMEs,Emerald Publishing,scopus-prediction
Money-Back Guarantees and Service Quality: The Marketing of In Vitro Fertilization Services,Yu S.; Ghosh M.; Viswanathan M.,2022,10.1177/00222437211060733,"Marketing practices like money-back guarantees (MBGs) are prevalent in many expert-service markets but are often decried as marketing gimmicks that take advantage of vulnerable and poorly informed consumers. In this research, conducted in the market for in vitro fertilization services, the authors empirically assess differences in quality of care between clinics that offer MBG programs and those that don't, to investigate whether MBG programs can serve a purpose consistent with signaling and insurance theories. The analysis is conducted on a unique longitudinal data set that includes information on clinic-level treatment, outcome statistics, clinic characteristics, and marketing practices for fertility clinics in the United States, state-level insurance mandates, competition environments, and demographic and geographic characteristics. Using an instrumental variable approach to account for the endogeneity of MBG decisions made by fertility clinics, the authors find that MBG clinics, on average, offer better treatment outcomes in terms of success rates while undertaking lower risks. The results are consistent with signaling theory predictions that market-based programs like MBGs can serve as signals of unobservable clinic quality despite the incentives for clinics to engage in opportunistic behaviors. © American Marketing Association 2022.",expert services; health care marketing; in vitro fertilization; information asymmetry; insurance; money-back guarantees; quality of care; signaling,SAGE Publications Ltd,scopus-prediction
Order in multi-attribute product choice decisions: Evidence from discrete choice experiments combined with eye tracking,Zuschke N.,2023,10.1002/bdm.2320,"Over time, research on order effects during information searching and choice tasks has received thorough attention in marketing, psychology, and economics. When early information search influences choice in favor of that information, it is called primacy; the equivalent for later information search is called recency. However, research that disentangles primacy and recency effects during multi-attribute product choice, as well as studies on the cognitive processes underlying primacy and recency effects are lacking. I address this gap with two choice-based conjoint experiments combined with eye tracking and by means of multilevel mediation analysis. Consistent with my prediction that to counterbalance the impact of decision irrelevant information on choice through early information search by later information search is mentally too costly, I find that “spatial position” biases choice due to primacy rather than recency. This bias, however, is small. This suggests that for decision irrelevant information, the causal influence of attention on choice generalizes to more complex decisions, though with little impact. Consistent with my prediction that the level of information elaboration moderates the mediation process, increasing task motivation decreases the dominance of primacy. © 2023 The Author. Journal of Behavioral Decision Making published by John Wiley & Sons Ltd.",bounded rationality; conjoint; consumer decision-making; eye tracking; multi-attribute; order; primacy; recency,John Wiley and Sons Ltd,scopus-prediction
